Protein ID	Source	Chrom	Start	Novelty	Support	Category	Gene family	Length (aa)	Similarity to selected	Ingroup	Outgroup	TBLASTN	Gene	Product	Source of annotation	Pfam domains	C286 (in)	C287 (in)	C288 (in)	C289 (in)	C294 (in)	C298 (in)	clade01 (out)	clade02 (out)	clade03 (out)	clade04 (out)	clade05 (out)	clade06 (out)	clade07 (out)	clade08 (out)	clade01 (tblastn)	clade02 (tblastn)	clade03 (tblastn)	clade04 (tblastn)	clade05 (tblastn)	clade06 (tblastn)	clade07 (tblastn)	clade08 (tblastn)
C287:EHM034692|EHA02331_bin.15_gene_288_5	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_288_5 (4)	305		6/6	0/8	7/8		KH_PARP10,Lactamase_B,Lactamase_B_2,Lactamase_B_3	Pfam	KH_PARP10,Lactamase_B,Lactamase_B_2,Lactamase_B_3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_53_9	C287			yes	pairwise		EHM034674|EHA02355_bin.24_gene_68_15 (3)	259		6/6	0/8	6/8		DeoRC,DIP2311-like_C,DUF1670,FaeA,FilR1_N,GntR,HTH_11,HTH_24,HTH_AsnC-type,HTH_Crp_2,HTH_DeoR,HVO_A0261_N,MarR,PF0610-like_N,PheRS_DBD1	Pfam	DeoRC,DIP2311-like_C,DUF1670,FaeA,FilR1_N,GntR,HTH_11,HTH_24,HTH_AsnC-type,HTH_Crp_2,HTH_DeoR,HVO_A0261_N,MarR,PF0610-like_N,PheRS_DBD1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_55_3	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_55_3 (5)	100		6/6	0/8	0/8		ClpS	Pfam	ClpS	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_62_52	C287			yes	pairwise		EHM034674|EHA02355_bin.24_gene_117_2 (2)	489		6/6	0/8	8/8		Sulfatase	ModelOrg_C287	DUF229,Phosphodiest,SGSH_C,Sulfatase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_69_1	C287			yes	pairwise			236		6/6	0/8	6/8		Bles03,KIAA1549	Pfam	Bles03,KIAA1549	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_71_3	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_71_3 (4)	215		6/6	0/8	8/8		Superoxide dismutase	ModelOrg_C287	DUF6915,Sod_Fe_C,Sod_Fe_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_73_6	C287			yes	pairwise		STP248.12601_R.bin.118|k141_923502_55 (6)	241		6/6	0/8	0/8		Cytidylate_kin2	Pfam	Cytidylate_kin2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_7_5	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_7_5 (2)	126		6/6	0/8	0/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_87_23	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_87_23 (3)	201		6/6	0/8	7/8		AFAP_C,DUF3450,DUF7801,FapA,HAUS-augmin3,Hemerythrin,Ish1,Knl1_RWD_C,LysC,MIF4G_like_2,NOCA1_mid,Spc24,T4SS_LegC2C7,TMEM120A-B,Tup_N	Pfam	AFAP_C,DUF3450,DUF7801,FapA,HAUS-augmin3,Hemerythrin,Ish1,Knl1_RWD_C,LysC,MIF4G_like_2,NOCA1_mid,Spc24,T4SS_LegC2C7,TMEM120A-B,Tup_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_87_31	C287			yes	pairwise			47		6/6	0/8	0/8		DUF7890	Pfam	DUF7890	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_98_12	C287			yes	pairwise		UHM1210.23070_R.bin.101|k141_1135903_47 (5)	235		6/6	0/8	0/8		TP_methylase	Pfam	TP_methylase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_98_13	C287			yes	pairwise		STP248.12601_R.bin.118|k141_962093_34 (6)	413		6/6	0/8	0/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_98_7	C287			yes	pairwise		EHM034720|EHA02359_bin.2_gene_202_2 (5)	187		6/6	0/8	3/8		RNase_H_2,RNase_T,Rv2179c-like	Pfam	RNase_H_2,RNase_T,Rv2179c-like	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
C286:EHM034720|EHA02359_bin.2_gene_103_7	C286			yes	pairwise			118		6/6	0/8	6/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0
C286:EHM034720|EHA02359_bin.2_gene_106_4	C286			yes	pairwise			293		6/6	0/8	8/8		Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	ModelOrg_C286	ACR_tran,DUF485,MMPL,SecD_SecF_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_113_10	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_113_10 (4)	290		6/6	0/8	3/8		DivIC,DUF4407,DUF5094,Lin0124_C,LMBR1,PDZ_4,PRKG1_interact,SLC52_ribofla_tr,TbpB_A	Pfam	DivIC,DUF4407,DUF5094,Lin0124_C,LMBR1,PDZ_4,PRKG1_interact,SLC52_ribofla_tr,TbpB_A	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
C286:EHM034720|EHA02359_bin.2_gene_118_2	C286			yes	pairwise		EHM034692|EHA02331_bin.15_gene_113_5 (6)	379		6/6	0/8	1/8		LDcluster4,Lysine_decarbox	Pfam	LDcluster4,Lysine_decarbox	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_120_3	C286			yes	pairwise			233		6/6	0/8	8/8		DUF374,WHD_WYL_N	Pfam	DUF374,WHD_WYL_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_128_6	C286			yes	pairwise		EHM034674|EHA02355_bin.24_gene_23_3 (5)	412		6/6	0/8	4/8		DUF1216	Pfam	DUF1216	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C286:EHM034720|EHA02359_bin.2_gene_12_8	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_12_8 (5)	282		6/6	0/8	3/8		DUF5392,DUF6057,TMEM107	Pfam	DUF5392,DUF6057,TMEM107	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
C286:EHM034720|EHA02359_bin.2_gene_134_3	C286			yes	pairwise		STP248.12601_R.bin.118|k141_962093_34 (6)	419		6/6	0/8	0/8		DUF3464,INV_N,SpoIIIAH,UPF0239	Pfam	DUF3464,INV_N,SpoIIIAH,UPF0239	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_134_4	C286			yes	pairwise			130		6/6	0/8	0/8		Piezo_cap,RisS_PPD,TP_methylase	Pfam	Piezo_cap,RisS_PPD,TP_methylase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_135_4	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_135_4 (2)	358		6/6	0/8	5/8		Abhydrolase_1,Abhydrolase_6,BAAT_C,DUF7796,Hydrolase_4,Peptidase_S15	Pfam	Abhydrolase_1,Abhydrolase_6,BAAT_C,DUF7796,Hydrolase_4,Peptidase_S15	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1
C286:EHM034720|EHA02359_bin.2_gene_137_9	C286			yes	pairwise		STP248.12601_R.bin.118|k141_465240_36 (6)	310		6/6	0/8	0/8		CSD,NYN,USA1_M	Pfam	CSD,NYN,USA1_M	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_141_1	C286			yes	pairwise			295		6/6	0/8	6/8		DUF639,EptA_B_N,Sulfatase	Pfam	DUF639,EptA_B_N,Sulfatase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_171_5	C286			yes	pairwise			135		6/6	0/8	3/8		Septum formation initiator family protein	ModelOrg_C286	DivIC,PRM1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
C286:EHM034720|EHA02359_bin.2_gene_184_8	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_184_8 (6)	488		6/6	0/8	1/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_186_5	C286			yes	pairwise		STP248.12601_R.bin.118|k141_483842_37 (12)	503		6/6	0/8	0/8		ABC_transp_aux,DUF4350,IFT52_GIFT,TCAF_N	Pfam	ABC_transp_aux,DUF4350,IFT52_GIFT,TCAF_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_186_6	C286			yes	pairwise		UHM1073.23039_R.bin.125|k141_197029_78 (6)	250		6/6	0/8	0/8		DUF6095,Pox_A14,T_cell_tran_alt	Pfam	DUF6095,Pox_A14,T_cell_tran_alt	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_18_3	C286			yes	pairwise			267		6/6	0/8	7/8		Beta-lactamase domain protein	ModelOrg_C286	Anti-Pycsar_Apyc1,Lactamase_B,Lactamase_B_2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_190_8	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_190_8 (13)	713		6/6	0/8	0/8		Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	Pfam	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_194_1	C286			yes	pairwise		STP248.12601_R.bin.118|k141_417709_118 (5)	129		6/6	0/8	2/8	fluC	Fluoride-specific ion channel FluC	ModelOrg_C286	CRCB,ECF_trnsprt,PrgI_like	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_194_3	C286			yes	pairwise		STP248.12601_R.bin.118|k141_923502_55 (6)	233		6/6	0/8	0/8		AAA_18,Cytidylate_kin,Cytidylate_kin2,DUF7438	Pfam	AAA_18,Cytidylate_kin,Cytidylate_kin2,DUF7438	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_220_15	C286			yes	pairwise		UHM1210.23070_R.bin.101|k141_692359_55 (6)	360		6/6	0/8	8/8		Methyltransf_28	Pfam	Methyltransf_28	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_220_29	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_220_29 (2)	656		6/6	0/8	2/8		ArnB_C,Cap_depo,CemA,CG45076_Coiled-coil,EccD,GAP45,Seadorna_VP4	Pfam	ArnB_C,Cap_depo,CemA,CG45076_Coiled-coil,EccD,GAP45,Seadorna_VP4	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
C286:EHM034720|EHA02359_bin.2_gene_233_4	C286			yes	pairwise		UHM1210.23070_R.bin.101|k141_35550_25 (6)	149		6/6	0/8	0/8		Trimer_CC	Pfam	Trimer_CC	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_236_5	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_236_5 (2)	268		6/6	0/8	2/8		CbiK,CbiX	Pfam	CbiK,CbiX	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
C286:EHM034720|EHA02359_bin.2_gene_255_15	C286			yes	pairwise		UHM1210.23070_R.bin.101|k141_1318991_122 (2)	347		6/6	0/8	6/8		EAK4_helical,HLH	Pfam	EAK4_helical,HLH	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_256_9	C286			yes	pairwise		UHM1210.23070_R.bin.101|k141_1142038_15 (6)	139		6/6	0/8	1/8		ExbD,zf_C2H2_13	Pfam	ExbD,zf_C2H2_13	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C286:EHM034720|EHA02359_bin.2_gene_3_6	C286			yes	pairwise		UHM1210.23070_R.bin.101|k141_44701_26 (2)	468		6/6	0/8	4/8		ADIP,Ig-CFAP74_2,OmpH,Phage_Mu_gp18,SPG4	Pfam	ADIP,Ig-CFAP74_2,OmpH,Phage_Mu_gp18,SPG4	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C286:EHM034720|EHA02359_bin.2_gene_46_1	C286			yes	pairwise			149		6/6	0/8	2/8		Cytochrome_CBB3,Cytochrom_C	Pfam	Cytochrome_CBB3,Cytochrom_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_4_20	C286			yes	pairwise			909		6/6	0/8	4/8		Outer membrane autotransporter barrel domain protein	ModelOrg_C286	LptD_N,PATR,PTL_trimer	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1
C286:EHM034720|EHA02359_bin.2_gene_4_8	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_4_8 (3)	282		6/6	0/8	5/8		Uncharacterized protein	ModelOrg_C286	DUF1737,DUF5686_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0
C286:EHM034720|EHA02359_bin.2_gene_56_8	C286			yes	pairwise		EHM034692|EHA02331_bin.15_gene_55_3 (5)	96		6/6	0/8	0/8		ClpS,DcsG_N,zf-SCNM1	Pfam	ClpS,DcsG_N,zf-SCNM1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_56_9	C286			yes	pairwise		UHM1210.23070_R.bin.101|k141_983138_33 (5)	197		6/6	0/8	0/8		DUF2017	Pfam	DUF2017	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_57_3	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_57_3 (6)	170		6/6	0/8	0/8		GAF,GAF_2	Pfam	GAF,GAF_2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_58_10	C286			yes	pairwise		UHM1210.23070_R.bin.101|k141_35550_134 (3)	364		6/6	0/8	5/8		SRP_TPR_like,TPR_12,TPR_2,TPR_6,TPR_8	Pfam	SRP_TPR_like,TPR_12,TPR_2,TPR_6,TPR_8	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1
C286:EHM034720|EHA02359_bin.2_gene_69_3	C286			yes	pairwise		EHM034692|EHA02331_bin.15_gene_166_5 (6)	260		6/6	0/8	8/8		Raptor_N,Sel1,TPR_19	Pfam	Raptor_N,Sel1,TPR_19	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_70_4	C286			yes	pairwise			78		6/6	0/8	0/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_76_10	C286			yes	pairwise		STP248.12601_R.bin.118|k141_540405_57 (2)	787		6/6	0/8	0/8		CCDC106,Secretin,Secretin_N,type_II_gspD_N0	Pfam	CCDC106,Secretin,Secretin_N,type_II_gspD_N0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_79_3	C286			yes	pairwise			692		6/6	0/8	8/8		Ferrous iron transport protein B	ModelOrg_C286	AIG1,ATP_bind_1,Dynamin_N,FeoB_C,FeoB_Cyto,FeoB_N,Gate,GTP_EFTU,MMR_HSR1,RsgA_GTPase,SRPRB,TMEM238	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_7_20	C286			yes	pairwise		UHM1073.23039_R.bin.125|k141_471956_3 (5)	233		6/6	0/8	8/8		DUF1573 domain-containing protein	ModelOrg_C286	A9CJY8-like_N,DUF1573,HYDIN_VesB_CFA65-like_Ig	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_81_14	C286			yes	pairwise			77		6/6	0/8	2/8		ZnuA	Pfam	ZnuA	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
C286:EHM034720|EHA02359_bin.2_gene_92_1	C286			yes	pairwise			357		6/6	0/8	8/8		CFAP70_TPR_C,HAT_PRP39_N,RMD1-3,RPN7,SNAP,TPR_1,TPR_12,TPR_14,TPR_16,TPR_18,TPR_19,TPR_2,TPR_21,TPR_6,TPR_7,TPR_8,YfiO	Pfam	CFAP70_TPR_C,HAT_PRP39_N,RMD1-3,RPN7,SNAP,TPR_1,TPR_12,TPR_14,TPR_16,TPR_18,TPR_19,TPR_2,TPR_21,TPR_6,TPR_7,TPR_8,YfiO	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_92_2	C286			yes	pairwise			175		6/6	0/8	8/8		GNA1162-like,LptE	Pfam	GNA1162-like,LptE	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C286:EHM034720|EHA02359_bin.2_gene_94_29	C286			yes	pairwise		EHM034720|EHA02359_bin.2_gene_94_29 (6)	152		6/6	0/8	1/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C298:STP248.12601_R.bin.118|k141_129934_107	C298			yes	pairwise		STP248.12601_R.bin.118|k141_129934_107 (2)	221		6/6	0/8	2/8		Cytochrome_CBB3,Cytochrom_C,SoxA-TsdA_cyt-c	Pfam	Cytochrome_CBB3,Cytochrom_C,SoxA-TsdA_cyt-c	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
C298:STP248.12601_R.bin.118|k141_129934_110	C298			yes	pairwise			754		6/6	0/8	3/8		Cytochrome_CBB3,Cytochrom_C,FixO,TssN	Pfam	Cytochrome_CBB3,Cytochrom_C,FixO,TssN	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
C298:STP248.12601_R.bin.118|k141_129934_115	C298			yes	pairwise		UHM1210.23070_R.bin.101|k141_35550_25 (6)	150		6/6	0/8	0/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C298:STP248.12601_R.bin.118|k141_129934_31	C298			yes	pairwise			455		6/6	0/8	7/8		TonB family protein	ModelOrg_C298	TonB_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1
C298:STP248.12601_R.bin.118|k141_417709_123	C298			yes	pairwise			264		6/6	0/8	8/8		LysM,LysM3_LYK4_5	Pfam	LysM,LysM3_LYK4_5	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C298:STP248.12601_R.bin.118|k141_417709_49	C298			yes	pairwise		EHM034720|EHA02359_bin.2_gene_4_8 (3)	292		6/6	0/8	5/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0
C298:STP248.12601_R.bin.118|k141_435317_26	C298			yes	pairwise		EHM034674|EHA02355_bin.24_gene_83_6 (3)	241		6/6	0/8	8/8		Peptidyl-prolyl cis-trans isomerase	ModelOrg_C298	Pro_isomerase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C298:STP248.12601_R.bin.118|k141_435317_9	C298			yes	pairwise			272		6/6	0/8	8/8		Big_14,CBM_6,CHIPS,DUF7974,DUF8186_C	Pfam	Big_14,CBM_6,CHIPS,DUF7974,DUF8186_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C298:STP248.12601_R.bin.118|k141_465240_11	C298			yes	pairwise		UHM1210.23070_R.bin.101|k141_604287_23 (2)	266		6/6	0/8	2/8		Cytochrome c assembly protein	ModelOrg_C298	CyanoTRADDas_TM,Cytochrom_C_asm,DUF6232,SECTM1_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
C298:STP248.12601_R.bin.118|k141_465240_110	C298			yes	pairwise			3220		6/6	0/8	8/8		Outer membrane autotransporter barrel domain protein	ModelOrg_C298	AF2028_3rd,Autotransporter,PATR	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C298:STP248.12601_R.bin.118|k141_465240_2	C298			yes	pairwise			658		6/6	0/8	8/8		beta-N-acetylhexosaminidase	ModelOrg_C298	GHL6,Glycohydro_20b2,Glyco_hydro_20,Glyco_hydro_20b,Lmo0850,NAGLU_N,PqqF_C_3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C298:STP248.12601_R.bin.118|k141_465240_36	C298			yes	pairwise		STP248.12601_R.bin.118|k141_465240_36 (6)	314		6/6	0/8	0/8		CSD,KOW4_SPT5,NYN	Pfam	CSD,KOW4_SPT5,NYN	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C298:STP248.12601_R.bin.118|k141_465240_8	C298			yes	pairwise		UHM1073.23039_R.bin.125|k141_197029_78 (6)	235		6/6	0/8	0/8		DUF6418	Pfam	DUF6418	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C298:STP248.12601_R.bin.118|k141_540405_141	C298			yes	pairwise		UHM1210.23070_R.bin.101|k141_692359_55 (6)	360		6/6	0/8	8/8		Methyltransf_28,WHD_Storkhead	Pfam	Methyltransf_28,WHD_Storkhead	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C298:STP248.12601_R.bin.118|k141_540405_173	C298			yes	pairwise			226		6/6	0/8	3/8		Phosphate uptake regulator, PhoU	ModelOrg_C298	DUF6176,HmpF,KH_PARP14_2,OmpH,PhoU,TerB_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
C298:STP248.12601_R.bin.118|k141_540405_57	C298			yes	pairwise		STP248.12601_R.bin.118|k141_540405_57 (2)	784		6/6	0/8	0/8		DUF1180,Secretin,Secretin_N,type_II_gspD_N0	Pfam	DUF1180,Secretin,Secretin_N,type_II_gspD_N0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C298:STP248.12601_R.bin.118|k141_540405_90	C298			yes	pairwise		EHM034720|EHA02359_bin.2_gene_12_8 (5)	285		6/6	0/8	3/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
C298:STP248.12601_R.bin.118|k141_556585_6	C298			yes	pairwise			157		6/6	0/8	7/8		Septum formation initiator family protein	ModelOrg_C298	Choline_transpo,DivIC,KMS1_N,TMEM70,Tmemb_9	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
C298:STP248.12601_R.bin.118|k141_557158_46	C298			yes	pairwise		UHM1210.23070_R.bin.101|k141_1142038_15 (6)	138		6/6	0/8	1/8		Bap31_Bap29_C,Betaherpes_U91,ExbD	Pfam	Bap31_Bap29_C,Betaherpes_U91,ExbD	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C298:STP248.12601_R.bin.118|k141_588353_58	C298			yes	pairwise		STP248.12601_R.bin.118|k141_500071_4 (2)	848		6/6	0/8	2/8		Cytochrome_C7,Cytochrome_CBB3,Cytochrom_c3_2,Cytochrom_CIII,DPPIV_N,DUF1924,Haem_bd,HZS_alpha,Mtrc-MtrF_II-IV_dom,Paired_CXXCH_1,PccH,PD40,PSCyt1,Tricorn_N	Pfam	Cytochrome_C7,Cytochrome_CBB3,Cytochrom_c3_2,Cytochrom_CIII,DPPIV_N,DUF1924,Haem_bd,HZS_alpha,Mtrc-MtrF_II-IV_dom,Paired_CXXCH_1,PccH,PD40,PSCyt1,Tricorn_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
C298:STP248.12601_R.bin.118|k141_588353_78	C298			yes	pairwise		STP248.12601_R.bin.118|k141_588353_82 (6)	889		6/6	0/8	2/8		Cytochrome_C7,Cytochrome_CBB3,Cytochrom_c3_2,Cytochrom_CIII,HZS_alpha,Mtrc-MtrF_II-IV_dom,Paired_CXXCH_1,PD40,Tll0287-like,Tricorn_N	Pfam	Cytochrome_C7,Cytochrome_CBB3,Cytochrom_c3_2,Cytochrom_CIII,HZS_alpha,Mtrc-MtrF_II-IV_dom,Paired_CXXCH_1,PD40,Tll0287-like,Tricorn_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
C298:STP248.12601_R.bin.118|k141_588353_80	C298			yes	pairwise		STP248.12601_R.bin.118|k141_588353_82 (6)	883		6/6	0/8	2/8		Cytochrome_C7,Cytochrom_CIII,HZS_alpha,Paired_CXXCH_1,PccH	Pfam	Cytochrome_C7,Cytochrom_CIII,HZS_alpha,Paired_CXXCH_1,PccH	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
C298:STP248.12601_R.bin.118|k141_588353_86	C298			yes	pairwise		EHM034720|EHA02359_bin.2_gene_57_3 (6)	182		6/6	0/8	0/8		GAF,GAF_2	Pfam	GAF,GAF_2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
