amphibian_genome	ref_accession	ref_species	dali_clade	AAI_pct	n_RBH
STP248.12601_R.bin.115	RS_GCF_026072915.1	A. biwaensis	mammal	58.46	1332
STP248.12601_R.bin.115	RS_GCF_001683795.1	A. glycaniphila	reptile	59.78	1283
STP248.12601_R.bin.115	GB_GCA_019115065.1	A. intestinavium	avian	54.60	1113
STP248.12601_R.bin.115	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.70	1060
STP248.12601_R.bin.59	RS_GCF_000020225.1	A. muciniphila	mammal	61.84	1483
STP248.12601_R.bin.59	RS_GCF_023516715.1	A. massiliensis	mammal	61.50	1548
STP248.12601_R.bin.59	RS_GCF_026072915.1	A. biwaensis	mammal	61.69	1521
STP248.12601_R.bin.59	RS_GCF_001683795.1	A. glycaniphila	reptile	58.57	1402
STP248.12601_R.bin.59	GB_GCA_019115065.1	A. intestinavium	avian	53.89	1190
STP248.12601_R.bin.59	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.02	1138
STP294.12602_R.bin.124	RS_GCF_000020225.1	A. muciniphila	mammal	61.35	1492
STP294.12602_R.bin.124	RS_GCF_023516715.1	A. massiliensis	mammal	61.42	1544
STP294.12602_R.bin.124	RS_GCF_026072915.1	A. biwaensis	mammal	61.34	1534
STP294.12602_R.bin.124	RS_GCF_001683795.1	A. glycaniphila	reptile	58.94	1383
STP294.12602_R.bin.124	GB_GCA_019115065.1	A. intestinavium	avian	54.15	1173
STP294.12602_R.bin.124	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.88	1125
STP572.12604_R.bin.69	RS_GCF_000020225.1	A. muciniphila	mammal	62.05	1306
STP572.12604_R.bin.69	RS_GCF_023516715.1	A. massiliensis	mammal	61.41	1387
STP572.12604_R.bin.69	RS_GCF_026072915.1	A. biwaensis	mammal	61.98	1328
STP572.12604_R.bin.69	RS_GCF_001683795.1	A. glycaniphila	reptile	58.53	1229
STP572.12604_R.bin.69	GB_GCA_019115065.1	A. intestinavium	avian	54.18	1047
STP572.12604_R.bin.69	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.06	1001
UHM1073.41096_R.bin.29	RS_GCF_000020225.1	A. muciniphila	mammal	61.25	1476
UHM1073.41096_R.bin.29	RS_GCF_023516715.1	A. massiliensis	mammal	60.94	1562
UHM1073.41096_R.bin.29	RS_GCF_026072915.1	A. biwaensis	mammal	61.28	1524
UHM1073.41096_R.bin.29	RS_GCF_001683795.1	A. glycaniphila	reptile	58.53	1383
UHM1073.41096_R.bin.29	GB_GCA_019115065.1	A. intestinavium	avian	54.07	1163
UHM1073.41096_R.bin.29	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.87	1112
UHM1080.23066_R.bin.78	RS_GCF_000020225.1	A. muciniphila	mammal	58.81	1400
UHM1080.23066_R.bin.78	RS_GCF_023516715.1	A. massiliensis	mammal	58.80	1471
UHM1080.23066_R.bin.78	RS_GCF_026072915.1	A. biwaensis	mammal	59.03	1449
UHM1080.23066_R.bin.78	RS_GCF_001683795.1	A. glycaniphila	reptile	90.31	1951
UHM1080.23066_R.bin.78	GB_GCA_019115065.1	A. intestinavium	avian	58.19	1216
UHM1080.23066_R.bin.78	GB_GCA_019114365.1	A. intestinigallinarum	avian	58.27	1165
UHM1080.41097_R.bin.23	RS_GCF_000020225.1	A. muciniphila	mammal	61.21	1492
UHM1080.41097_R.bin.23	RS_GCF_023516715.1	A. massiliensis	mammal	61.39	1544
UHM1080.41097_R.bin.23	RS_GCF_026072915.1	A. biwaensis	mammal	61.41	1518
UHM1080.41097_R.bin.23	RS_GCF_001683795.1	A. glycaniphila	reptile	58.74	1384
UHM1080.41097_R.bin.23	GB_GCA_019115065.1	A. intestinavium	avian	54.07	1170
UHM1080.41097_R.bin.23	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.78	1120
UHM1088.23067_R.bin.125	RS_GCF_000020225.1	A. muciniphila	mammal	61.30	1495
UHM1088.23067_R.bin.125	RS_GCF_023516715.1	A. massiliensis	mammal	61.24	1562
UHM1088.23067_R.bin.125	RS_GCF_026072915.1	A. biwaensis	mammal	61.48	1531
UHM1088.23067_R.bin.125	RS_GCF_001683795.1	A. glycaniphila	reptile	58.68	1389
UHM1088.23067_R.bin.125	GB_GCA_019115065.1	A. intestinavium	avian	54.10	1174
UHM1088.23067_R.bin.125	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.93	1121
UHM1110.23068_R.bin.209	RS_GCF_000020225.1	A. muciniphila	mammal	61.64	1450
UHM1110.23068_R.bin.209	RS_GCF_023516715.1	A. massiliensis	mammal	61.16	1536
UHM1110.23068_R.bin.209	RS_GCF_026072915.1	A. biwaensis	mammal	61.55	1482
UHM1110.23068_R.bin.209	RS_GCF_001683795.1	A. glycaniphila	reptile	58.74	1363
UHM1110.23068_R.bin.209	GB_GCA_019115065.1	A. intestinavium	avian	53.81	1161
UHM1110.23068_R.bin.209	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.73	1104
UHM1110.41099_R.bin.126	RS_GCF_000020225.1	A. muciniphila	mammal	61.53	1427
UHM1110.41099_R.bin.126	RS_GCF_023516715.1	A. massiliensis	mammal	61.07	1510
UHM1110.41099_R.bin.126	RS_GCF_026072915.1	A. biwaensis	mammal	61.42	1460
UHM1110.41099_R.bin.126	RS_GCF_001683795.1	A. glycaniphila	reptile	58.61	1341
UHM1110.41099_R.bin.126	GB_GCA_019115065.1	A. intestinavium	avian	53.58	1143
UHM1110.41099_R.bin.126	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.50	1085
UHM1210.23070_R.bin.39	RS_GCF_000020225.1	A. muciniphila	mammal	61.87	1456
UHM1210.23070_R.bin.39	RS_GCF_023516715.1	A. massiliensis	mammal	61.15	1561
UHM1210.23070_R.bin.39	RS_GCF_026072915.1	A. biwaensis	mammal	61.56	1519
UHM1210.23070_R.bin.39	RS_GCF_001683795.1	A. glycaniphila	reptile	58.86	1406
UHM1210.23070_R.bin.39	GB_GCA_019115065.1	A. intestinavium	avian	54.08	1180
UHM1210.23070_R.bin.39	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.89	1131
UHM1210.41100_R.bin.160	RS_GCF_000020225.1	A. muciniphila	mammal	61.63	1358
UHM1210.41100_R.bin.160	RS_GCF_023516715.1	A. massiliensis	mammal	61.11	1439
UHM1210.41100_R.bin.160	RS_GCF_026072915.1	A. biwaensis	mammal	61.61	1398
UHM1210.41100_R.bin.160	RS_GCF_001683795.1	A. glycaniphila	reptile	58.91	1293
UHM1210.41100_R.bin.160	GB_GCA_019115065.1	A. intestinavium	avian	54.19	1076
UHM1210.41100_R.bin.160	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.88	1035
UHM1225.23071_R.bin.67	RS_GCF_000020225.1	A. muciniphila	mammal	61.87	1452
UHM1225.23071_R.bin.67	RS_GCF_023516715.1	A. massiliensis	mammal	61.83	1501
UHM1225.23071_R.bin.67	RS_GCF_026072915.1	A. biwaensis	mammal	61.84	1489
UHM1225.23071_R.bin.67	RS_GCF_001683795.1	A. glycaniphila	reptile	59.09	1363
UHM1225.23071_R.bin.67	GB_GCA_019115065.1	A. intestinavium	avian	54.42	1152
UHM1225.23071_R.bin.67	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.19	1114
UHM1225.41101_R.bin.117	RS_GCF_000020225.1	A. muciniphila	mammal	61.82	1340
UHM1225.41101_R.bin.117	RS_GCF_023516715.1	A. massiliensis	mammal	61.73	1389
UHM1225.41101_R.bin.117	RS_GCF_026072915.1	A. biwaensis	mammal	61.92	1378
UHM1225.41101_R.bin.117	RS_GCF_001683795.1	A. glycaniphila	reptile	59.11	1264
UHM1225.41101_R.bin.117	GB_GCA_019115065.1	A. intestinavium	avian	54.35	1064
UHM1225.41101_R.bin.117	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.11	1027
UHM1228.23072_R.bin.109	RS_GCF_000020225.1	A. muciniphila	mammal	61.24	1096
UHM1228.23072_R.bin.109	RS_GCF_023516715.1	A. massiliensis	mammal	61.44	1122
UHM1228.23072_R.bin.109	RS_GCF_026072915.1	A. biwaensis	mammal	61.52	1115
UHM1228.23072_R.bin.109	RS_GCF_001683795.1	A. glycaniphila	reptile	57.92	1023
UHM1228.23072_R.bin.109	GB_GCA_019115065.1	A. intestinavium	avian	53.36	871
UHM1228.23072_R.bin.109	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.28	831
UHM1228.23072_R.bin.119	RS_GCF_000020225.1	A. muciniphila	mammal	61.93	1464
UHM1228.23072_R.bin.119	RS_GCF_023516715.1	A. massiliensis	mammal	61.70	1517
UHM1228.23072_R.bin.119	RS_GCF_026072915.1	A. biwaensis	mammal	61.79	1507
UHM1228.23072_R.bin.119	RS_GCF_001683795.1	A. glycaniphila	reptile	59.22	1386
UHM1228.23072_R.bin.119	GB_GCA_019115065.1	A. intestinavium	avian	54.36	1166
UHM1228.23072_R.bin.119	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.14	1120
UHM1228.41102_R.bin.103	RS_GCF_000020225.1	A. muciniphila	mammal	61.68	1408
UHM1228.41102_R.bin.103	RS_GCF_023516715.1	A. massiliensis	mammal	61.51	1453
UHM1228.41102_R.bin.103	RS_GCF_026072915.1	A. biwaensis	mammal	61.56	1442
UHM1228.41102_R.bin.103	RS_GCF_001683795.1	A. glycaniphila	reptile	59.08	1320
UHM1228.41102_R.bin.103	GB_GCA_019115065.1	A. intestinavium	avian	53.93	1124
UHM1228.41102_R.bin.103	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.80	1078
UHM1327.23073_R.bin.104	RS_GCF_000020225.1	A. muciniphila	mammal	61.66	1437
UHM1327.23073_R.bin.104	RS_GCF_023516715.1	A. massiliensis	mammal	61.97	1492
UHM1327.23073_R.bin.104	RS_GCF_026072915.1	A. biwaensis	mammal	61.93	1474
UHM1327.23073_R.bin.104	RS_GCF_001683795.1	A. glycaniphila	reptile	58.66	1342
UHM1327.23073_R.bin.104	GB_GCA_019115065.1	A. intestinavium	avian	54.11	1138
UHM1327.23073_R.bin.104	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.29	1082
UHM1327.41103_R.bin.13	RS_GCF_000020225.1	A. muciniphila	mammal	61.28	1433
UHM1327.41103_R.bin.13	RS_GCF_023516715.1	A. massiliensis	mammal	61.38	1499
UHM1327.41103_R.bin.13	RS_GCF_026072915.1	A. biwaensis	mammal	61.66	1470
UHM1327.41103_R.bin.13	RS_GCF_001683795.1	A. glycaniphila	reptile	58.53	1349
UHM1327.41103_R.bin.13	GB_GCA_019115065.1	A. intestinavium	avian	53.64	1136
UHM1327.41103_R.bin.13	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.70	1085
UHM245.23042_R.bin.54	RS_GCF_000020225.1	A. muciniphila	mammal	58.50	1429
UHM245.23042_R.bin.54	RS_GCF_023516715.1	A. massiliensis	mammal	58.25	1529
UHM245.23042_R.bin.54	RS_GCF_026072915.1	A. biwaensis	mammal	58.54	1481
UHM245.23042_R.bin.54	RS_GCF_001683795.1	A. glycaniphila	reptile	89.77	2062
UHM245.23042_R.bin.54	GB_GCA_019115065.1	A. intestinavium	avian	57.84	1253
UHM245.23042_R.bin.54	GB_GCA_019114365.1	A. intestinigallinarum	avian	58.05	1194
UHM298.41072_R.bin.118	RS_GCF_000020225.1	A. muciniphila	mammal	58.48	1078
UHM298.41072_R.bin.118	RS_GCF_023516715.1	A. massiliensis	mammal	57.97	1124
UHM298.41072_R.bin.118	RS_GCF_026072915.1	A. biwaensis	mammal	58.29	1107
UHM298.41072_R.bin.118	RS_GCF_001683795.1	A. glycaniphila	reptile	59.48	1056
UHM298.41072_R.bin.118	GB_GCA_019115065.1	A. intestinavium	avian	54.28	939
UHM298.41072_R.bin.118	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.01	900
UHM467.41073_R.bin.119	RS_GCF_000020225.1	A. muciniphila	mammal	58.62	1004
UHM467.41073_R.bin.119	RS_GCF_023516715.1	A. massiliensis	mammal	58.36	1041
UHM467.41073_R.bin.119	RS_GCF_026072915.1	A. biwaensis	mammal	58.66	1019
UHM467.41073_R.bin.119	RS_GCF_001683795.1	A. glycaniphila	reptile	59.71	983
UHM467.41073_R.bin.119	GB_GCA_019115065.1	A. intestinavium	avian	54.48	864
UHM467.41073_R.bin.119	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.47	824
UHM467.41073_R.bin.88	RS_GCF_000020225.1	A. muciniphila	mammal	61.80	1405
UHM467.41073_R.bin.88	RS_GCF_023516715.1	A. massiliensis	mammal	61.75	1466
UHM467.41073_R.bin.88	RS_GCF_026072915.1	A. biwaensis	mammal	61.93	1430
UHM467.41073_R.bin.88	RS_GCF_001683795.1	A. glycaniphila	reptile	59.28	1318
UHM467.41073_R.bin.88	GB_GCA_019115065.1	A. intestinavium	avian	54.38	1103
UHM467.41073_R.bin.88	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.22	1072
UHM967.23060_R.bin.96	RS_GCF_000020225.1	A. muciniphila	mammal	60.60	1329
UHM967.23060_R.bin.96	RS_GCF_023516715.1	A. massiliensis	mammal	60.64	1379
UHM967.23060_R.bin.96	RS_GCF_026072915.1	A. biwaensis	mammal	60.94	1346
UHM967.23060_R.bin.96	RS_GCF_001683795.1	A. glycaniphila	reptile	58.29	1224
UHM967.23060_R.bin.96	GB_GCA_019115065.1	A. intestinavium	avian	53.76	1032
UHM967.23060_R.bin.96	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.55	986
UHM969.23061_R.bin.162	RS_GCF_000020225.1	A. muciniphila	mammal	57.67	1376
UHM969.23061_R.bin.162	RS_GCF_023516715.1	A. massiliensis	mammal	57.06	1438
UHM969.23061_R.bin.162	RS_GCF_026072915.1	A. biwaensis	mammal	57.72	1400
UHM969.23061_R.bin.162	RS_GCF_001683795.1	A. glycaniphila	reptile	55.37	1297
UHM969.23061_R.bin.162	GB_GCA_019115065.1	A. intestinavium	avian	52.76	1125
UHM969.23061_R.bin.162	GB_GCA_019114365.1	A. intestinigallinarum	avian	52.63	1083
UHM969.23061_R.bin.5	RS_GCF_000020225.1	A. muciniphila	mammal	58.75	1386
UHM969.23061_R.bin.5	RS_GCF_023516715.1	A. massiliensis	mammal	58.64	1466
UHM969.23061_R.bin.5	RS_GCF_026072915.1	A. biwaensis	mammal	58.80	1438
UHM969.23061_R.bin.5	RS_GCF_001683795.1	A. glycaniphila	reptile	89.93	1953
UHM969.23061_R.bin.5	GB_GCA_019115065.1	A. intestinavium	avian	58.05	1230
UHM969.23061_R.bin.5	GB_GCA_019114365.1	A. intestinigallinarum	avian	58.28	1177
UHM973.23044_R.bin.60	RS_GCF_000020225.1	A. muciniphila	mammal	58.72	1304
UHM973.23044_R.bin.60	RS_GCF_023516715.1	A. massiliensis	mammal	58.23	1358
UHM973.23044_R.bin.60	RS_GCF_026072915.1	A. biwaensis	mammal	58.46	1345
UHM973.23044_R.bin.60	RS_GCF_001683795.1	A. glycaniphila	reptile	59.75	1294
UHM973.23044_R.bin.60	GB_GCA_019115065.1	A. intestinavium	avian	54.57	1124
UHM973.23044_R.bin.60	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.64	1073
UHM975.23062_R.bin.26	RS_GCF_000020225.1	A. muciniphila	mammal	61.61	1430
UHM975.23062_R.bin.26	RS_GCF_023516715.1	A. massiliensis	mammal	61.57	1485
UHM975.23062_R.bin.26	RS_GCF_026072915.1	A. biwaensis	mammal	61.79	1455
UHM975.23062_R.bin.26	RS_GCF_001683795.1	A. glycaniphila	reptile	59.11	1327
UHM975.23062_R.bin.26	GB_GCA_019115065.1	A. intestinavium	avian	54.59	1105
UHM975.23062_R.bin.26	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.30	1066
UHM979.23045_R.bin.184	RS_GCF_000020225.1	A. muciniphila	mammal	61.27	1490
UHM979.23045_R.bin.184	RS_GCF_023516715.1	A. massiliensis	mammal	61.52	1552
UHM979.23045_R.bin.184	RS_GCF_026072915.1	A. biwaensis	mammal	61.96	1520
UHM979.23045_R.bin.184	RS_GCF_001683795.1	A. glycaniphila	reptile	58.60	1386
UHM979.23045_R.bin.184	GB_GCA_019115065.1	A. intestinavium	avian	54.30	1156
UHM979.23045_R.bin.184	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.09	1112
UHM979.41089_R.bin.124	RS_GCF_000020225.1	A. muciniphila	mammal	61.23	1481
UHM979.41089_R.bin.124	RS_GCF_023516715.1	A. massiliensis	mammal	61.27	1534
UHM979.41089_R.bin.124	RS_GCF_026072915.1	A. biwaensis	mammal	61.59	1499
UHM979.41089_R.bin.124	RS_GCF_001683795.1	A. glycaniphila	reptile	58.63	1376
UHM979.41089_R.bin.124	GB_GCA_019115065.1	A. intestinavium	avian	54.35	1146
UHM979.41089_R.bin.124	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.09	1104
UHM989.23064_R.bin.153	RS_GCF_000020225.1	A. muciniphila	mammal	57.60	1365
UHM989.23064_R.bin.153	RS_GCF_023516715.1	A. massiliensis	mammal	57.23	1411
UHM989.23064_R.bin.153	RS_GCF_026072915.1	A. biwaensis	mammal	57.59	1399
UHM989.23064_R.bin.153	RS_GCF_001683795.1	A. glycaniphila	reptile	55.13	1299
UHM989.23064_R.bin.153	GB_GCA_019115065.1	A. intestinavium	avian	52.67	1120
UHM989.23064_R.bin.153	GB_GCA_019114365.1	A. intestinigallinarum	avian	52.55	1076
UHM989.41093_R.bin.92	RS_GCF_000020225.1	A. muciniphila	mammal	57.59	1337
UHM989.41093_R.bin.92	RS_GCF_023516715.1	A. massiliensis	mammal	57.28	1378
UHM989.41093_R.bin.92	RS_GCF_026072915.1	A. biwaensis	mammal	57.64	1366
UHM989.41093_R.bin.92	RS_GCF_001683795.1	A. glycaniphila	reptile	55.17	1265
UHM989.41093_R.bin.92	GB_GCA_019115065.1	A. intestinavium	avian	52.69	1099
UHM989.41093_R.bin.92	GB_GCA_019114365.1	A. intestinigallinarum	avian	52.54	1053
UHM993.23065_R.bin.161	RS_GCF_000020225.1	A. muciniphila	mammal	61.26	1498
UHM993.23065_R.bin.161	RS_GCF_023516715.1	A. massiliensis	mammal	61.18	1564
UHM993.23065_R.bin.161	RS_GCF_026072915.1	A. biwaensis	mammal	61.40	1524
UHM993.23065_R.bin.161	RS_GCF_001683795.1	A. glycaniphila	reptile	58.69	1388
UHM993.23065_R.bin.161	GB_GCA_019115065.1	A. intestinavium	avian	53.98	1175
UHM993.23065_R.bin.161	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.94	1117
UHM993.41094_R.bin.52	RS_GCF_000020225.1	A. muciniphila	mammal	61.17	1442
UHM993.41094_R.bin.52	RS_GCF_023516715.1	A. massiliensis	mammal	61.25	1494
UHM993.41094_R.bin.52	RS_GCF_026072915.1	A. biwaensis	mammal	61.19	1471
UHM993.41094_R.bin.52	RS_GCF_001683795.1	A. glycaniphila	reptile	58.76	1332
UHM993.41094_R.bin.52	GB_GCA_019115065.1	A. intestinavium	avian	53.91	1134
UHM993.41094_R.bin.52	GB_GCA_019114365.1	A. intestinigallinarum	avian	53.77	1083
